rank,book,authors,year,country,language
3,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
156,Wide Sargasso Sea,Jean Rhys,1966,British,English
58,Midnight's Children,Salman Rushdie,1981,Indian,English
155,The Prime of Miss Jean Brodie,Muriel Spark,1961,"British, Scottish",English
45,Beloved,Toni Morrison,1987,American,English
11,Lolita,Vladimir Nabokov,1955,American,English
25,To the Lighthouse,Virginia Woolf,1927,British,English
7,Nineteen Eighty Four,George Orwell,1949,British,English
60,Things Fall Apart,Chinua Achebe,1958,Nigerian,English
32,Mrs. Dalloway,Virginia Woolf,1925,British,English
154,Giovanni's Room,James Baldwin,1956,American,English
133,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English
79,A Passage to India,E. M. Forster,1924,British,English
319,Housekeeping,Marilynne Robinson,1980,American,English
260,Never Let Me Go,Kazuo Ishiguro,2005,British,English
190,The Remains of the Day,Kazuo Ishiguro,1989,British,English
711,A Suitable Boy,Vikram Seth,1993,Indian,English
348,The God of Small Things,Arundhati Roy,1997,Indian,English
259,Disgrace,J. M. Coetzee,1999,South African,English
462,Gilead,Marilynne Robinson,2004,American,English
51,Lord of the Flies,William Golding,1954,British,English
1062,The Blue Flower,Penelope Fitzgerald,1995,British,English
215,A House for Mr. Biswas,V. S. Naipaul,1961,Trinidadian,English
236,Atonement,Ian McEwan,2001,British,English
152,The Color Purple,Alice Walker,1982,American,English
96,The Bell Jar,Sylvia Plath,1963,American,English
380,Wolf Hall,Hilary Mantel,2009,British,English
145,The Talented Mr. Ripley,Patricia Highsmith,1955,American,English
176,The Power and the Glory,Graham Greene,1940,British,English
328,Bonfire of the Vanities,Tom Wolfe,1987,American,English
1326,Olive Kitteridge,Elizabeth Strout,2008,American,English
551,The Death of the Heart,Elizabeth Bowen,1938,"British, Irish",English
1122,Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,Nigerian,English
1430,Never Mind,Edward St Aubyn,1992,British,English
5,The Catcher in the Rye,J. D. Salinger,1951,American,English
180,Blood Meridian,Cormac McCarthy,1985,American,English
183,Lady Chatterley's Lover,D. H. Lawrence,1928,British,English
605,Nights At The Circus,Angela Carter,1984,British,English
63,The Golden Notebook,Doris May Lessing,1962,British,English
57,The Sun Also Rises,Ernest Hemingway,1926,American,English
50,Brave New World,Aldous Huxley,1932,British,English
822,Regeneration,Pat Barker,1991,British,English
170,"Rabbit, Run",John Updike,1960,American,English
273,The Adventures of Augie March,Saul Bellow,1953,American,English
530,A Fine Balance,Rohinton Mistry,1995,Indian,English
2246,The Corner That Held Them,Sylvia Townsend Warner,1948,British,English
126,Brideshead Revisited,Evelyn Waugh,1945,British,English
357,White Noise,Don DeLillo,1985,American,English
64,Their Eyes Were Watching God,Zora Neale Hurston,1937,American,English
2562,A Fringe Of Leaves,Patrick White,1976,Australian,English
16,To Kill a Mockingbird,Harper Lee,1960,American,English
