rank,book,authors,year,country,language
6534,A Dream In Polar Fog,Yuri Rytkheu,2005,Russian,Russian
6430,Heirs To The Great Sinner Sheikh San’on,Erkin A’zam,2004,Unknown,Unknown
5629,Shadows On The Tundra,Dalia Grinkevičiutė,1997,Lithuanian,Lithuanian
984,Invitation To A Beheading,Vladimir Nabokov,1935,American,Russian
1416,The Tongue Set Free,Elias Canetti,1977,Austrian,German
5388,The Crowned Wanderer,Rahim Esenov,1994,Turkmen,Unknown
364,Kolyma Stories,Varlam Shalamov,1954,Russian,Russian
2306,"Poems, New And Collected, 1957 1997",Wislawa Szymborska,1998,Polish,Polish
3570,The Memoirs Of Princess Dashkova,Ekaterina Romanovna Dashkova,1840,Russian,Russian
7084,Animalinside,"László Krasznahorkai , Max Neumann",2010,Hungarian,Hungarian
2197,The Futurological Congress,Stanislaw Lem,1971,Polish,Polish
4852,Paper Children,Mariana Marin,1987,Romanian,Romanian
4391,The Palace Of Dreams,Ismail Kadare,1981,Albanian,Albanian
1628,The Poetry of Alexander Pushkin,Alexander Pushkin,1836,Russian,Russian
