rank,book,authors,year,country,language
6072,Amantul Colivăresei,Radu Aldulescu,1996,Romanian,Romanian
7493,Caietul Albastru,Nicolae Balotă,2007,Romanian,Romanian
9519,Abisul Luminat,Nicolae Balotă,2018,Romanian,Unknown
6228,The Time Of Our Lives,Annie Bentoiu,1998,Unknown,Romanian
6524,Tortura Pe înțelesul Tuturor,Florin Constantin Pavlovici,2001,Romanian,Romanian
6524,Simion Liftnicul,Petru Cimpoeșu,2001,Romanian,Romanian
6824,La Poupée Russe,Gheorghe Crăciun,2004,Romanian,Unknown
6924,The Children's Crusade,Florina Ilis,2005,Romanian,Romanian
8995,Viață și Cărți. Amintirile Unui Cititor De Cursă Lungă,Nicolae Manolescu,2016,Romanian,Romanian
7747,The Book Of Whispers,Varujan Vosganian,2009,Romanian,Romanian
8087,Ploile Amare,Alexandru Vlad,2011,Romanian,Romanian
8087,"Acasă, pe Cîmpia Armaghedonului",Marta Petreu,2011,Romanian,Romanian
8563,Punct și De La Capăt,Gabriel Chifu,2014,Romanian,Romanian
9198,Ploaia De Trei Sute De Zile,Gabriel Chifu,2017,Romanian,Romanian
