rank,book,authors,year,country,language
5969,Tonight And Forever,Brenda Jackson,1995,American,English
10,Anna Karenina,Leo Tolstoy,1877,Russian,Russian
9471,The Ex Hex,Erin Sterling,2021,American,English
6780,Raymond And Hannah,Stephen Marche,2005,Canadian,English
7933,Neon Gods,Katee Robert,2021,American,English
9681,D'vaughn And Kris Plan A Wedding,Chencia C. Higgins,2022,Unknown,English
2558,Bid Time Return,Richard Matheson,1975,American,English
5519,Book Lovers,Emily Henry,2021,American,English
1093,The Price Of Salt,Patricia Highsmith,1952,American,English
7734,The Scorpio Races,Maggie Stiefvater,2011,American,English
9179,Brutal Prince,Sophie Lark,2020,Unknown,English
