rank,book,authors,year,country,language
7063,A Funny Dirty Little War,Osvaldo Soriano,1983,Argentinian,Spanish
10287,Memories Of My Melancholy Whores,Gabriel García Márquez,2004,Colombian,Spanish
10933,Desolation Island,Adolfo García Ortega,2014,Spanish,Unknown
4584,Of Love And Other Demons,Gabriel García Márquez,1994,Colombian,Spanish
8295,Ella Cantaba Boleros,Guillermo Cabrera Infante,1992,Cuban,Spanish
2079,The Luminous Novel,Mario Levrero,2005,Uruguayan,Spanish
8196,La Guerra De Galio,Héctor Aguilar Camín,1991,Mexican,Spanish
6013,Tear This Heart Out,Ángeles Mastreta,1985,Mexican,Spanish
7490,"Arturo, La Estrella Más Brillante",Reinaldo Arenas,1984,Cuban,Unknown
9263,The African Shore,Rodrigo Rey Rosa,1999,Guatemalan,Spanish
8538,Custody Of The Eyes,Diamela Eltit,1994,Chilean,Spanish
