rank,book,authors,year,country,language
4458,Gedichten Van Den Schoolmeester,Gerrit van de Linde,1859,Dutch,Dutch
4458,De Dichtwerken,P.A. de Genestet,1860,Dutch,Dutch
4458,Mathilde,Jacques Perk,1882,Dutch,Dutch
4458,Het Land Van Rembrand,Cd. Busken Huet,1879,Dutch,Dutch
4458,Een Liefde,Lodewijk van Deyssel,1887,Dutch,Dutch
4458,Een Zwerver Verliefd,Arthur van Schendel,1904,Dutch,Dutch
4458,The Mountain Of Light,Louis Couperus,1906,Dutch,Dutch
4458,Iskander,Louis Couperus,1920,Dutch,Dutch
4458,Occupied City,Paul van Ostaijen,1921,Belgian,Dutch
4458,Vormen,Martinus Nijhoff,1924,Dutch,Dutch
4458,Eva,Carry van Bruggen,1927,Dutch,Dutch
4458,Schuim En Asch,J.J. Slauerhoff,1930,Dutch,Dutch
1609,The Forbidden Kingdom,Jan Jacob Slauerhoff,1932,Dutch,Dutch
2173,Houtekiet,Gerard Walschap,1939,Belgian,Dutch
4458,Captain Jan,Jan de Hartog,1945,Dutch,Dutch
4458,Eric In The Land Of The Insects,Godfried Bomans,1941,Dutch,Dutch
2173,Will O' The Wisp,Willem Elsschot,1947,Belgian,Dutch
4458,De Vuuraanbidders,Simon Vestdijk,1947,Dutch,Dutch
4458,The Tears Of The Acacias,W.F. Hermans,1949,Dutch,Dutch
1609,The Garden Where the Brass Band Played,Simon Vestdijk,1950,Dutch,Dutch
4629,Minuet,Louis-Paul Boon,1955,Belgian,Dutch
5045,Het Leven Is Verrukkulluk,Remco Campert,1961,Dutch,Dutch
2842,Amsterdam Stories,Nescio,1918,Dutch,Dutch
5167,Omtrent Deedee,Hugo Claus,1963,Belgian,Dutch
5978,Double Play,Frank Martinus Arion,1973,Dutch,Dutch
4751,Verzamelde Gedichten,Lucebert,1957,Dutch,Dutch
2547,A Flight Of Curlews,Maarten 't Hart,1978,Dutch,Dutch
